chinese	english
機械工程學系乙組	Department of Mechanical Engineering Group B
機械工程學系先進材料與精密製造組	Advanced Materials and Precision Manufacturing Group, Department of Mechanical Engineering
機械工程學系光機電工程組	Optomechanical and Electrical Engineering Group, Department of Mechanical Engineering
機械工程學系光機電整合工程組	Optomechanical and Electrical Integration Engineering Group, Department of Mechanical Engineering
機械工程學系智慧機械組	Intelligent Machinery Group, Department of Mechanical Engineering
機械工程學系智慧自動化組	Intelligent Automation Group, Department of Mechanical Engineering
機械工程學系機械工程組	Mechanical Engineering Group, Department of Mechanical Engineering
機械工程學系甲組	Department of Mechanical Engineering Group A
機械工程學系精密機械組(乙)	Precision Machinery Group (B), Department of Mechanical Engineering
機械工程學系精密機械組(甲)	Precision Machinery Group (A), Department of Mechanical Engineering
機械工程學系航空技術組	Aeronautical Technology Group, Department of Mechanical Engineering
機械工程學系設計與分析組	Design and Analysis Group, Department of Mechanical Engineering
機械工程學系電子機械組(乙)	Department of Mechanical Engineering, Electronic Mechanical Group (B)
機械工程學系電子機械組(甲)	Department of Mechanical Engineering, Electronic Mechanical Group (A)
機械工程系	Department of Mechanical Engineering
機械工程系先進車輛組	Advanced Vehicle Group, Department of Mechanical Engineering
機械工程系光機電組	Department of Mechanical Engineering Optomechanical and Electrical Group
機械工程系微奈米技術組	Micro-Nano Technology Group, Department of Mechanical Engineering
機械工程系智慧製造組	Smart Manufacturing Group, Department of Mechanical Engineering
機械工程系智慧車輛組	Department of Mechanical Engineering Intelligent Vehicle Group
機械工程系智能系	Department of Mechanical Engineering Department of Intelligence
機械工程系智能系統與控制組	Intelligent Systems and Control Group, Department of Mechanical Engineering
機械工程系材料與精密製造組	Materials and Precision Manufacturing Group, Department of Mechanical Engineering
機械工程系機電組	Department of Mechanical Engineering, Mechanical and Electrical Group
機械工程系機電組（建工校區）	Mechanical and Electrical Group of the Department of Mechanical Engineering (Jiangong Campus)
機械工程系機電綠能組	Mechanical and Electrical Green Energy Group, Department of Mechanical Engineering
機械工程系汽車組	Department of Mechanical Engineering Automotive Group
機械工程系精密機械組	Precision Machinery Group, Department of Mechanical Engineering
機械工程系精密機械設計組	Precision Machinery Design Group, Department of Mechanical Engineering
機械工程系精密製造技術組	Precision Manufacturing Technology Group, Department of Mechanical Engineering
機械工程系精密設計製造組	Precision Design and Manufacturing Group, Department of Mechanical Engineering
機械工程系自動化控制組	Automation Control Group, Department of Mechanical Engineering
機械工程系車輛工程組	Vehicle Engineering Group, Department of Mechanical Engineering
機械工程系車輛組	Vehicle Group, Department of Mechanical Engineering
機械工程系（台北校區）	Department of Mechanical Engineering (Taipei Campus)
機械工程系（建工校區）	Department of Mechanical Engineering (Jiangong Campus)
機械與智慧製造工程系	Department of Mechanical and Intelligent Manufacturing Engineering
機械與材料工程學系	Department of Mechanical and Materials Engineering
機械與材料工程學系(乙組)	Department of Mechanical and Materials Engineering (Group B)
機械與材料工程學系(甲組)	Department of Mechanical and Materials Engineering (Group A)
機械與機電工程學系	Department of Mechanical and Mechatronic Engineering
機械與機電工程學系乙組	Department of Mechanical and Electromechanical Engineering Group B
機械與機電工程學系光機電整合組	Optomechanical and Electrical Integration Group, Department of Mechanical and Mechatronic Engineering
機械與機電工程學系光機電組	Optomechanical and Electrical Group, Department of Mechanical and Mechatronic Engineering
機械與機電工程學系全英語組	Department of Mechanical and Electromechanical Engineering Full English Section
機械與機電工程學系甲組	Department of Mechanical and Electromechanical Engineering Group A
機械與機電工程學系精密機械組	Precision Machinery Group, Department of Mechanical and Electromechanical Engineering
機械與機電工程系精密機械組	Precision Machinery Group, Department of Mechanical and Electromechanical Engineering
機械與能源工程學系	Department of Mechanical and Energy Engineering
機械與自動化工程學系	Department of Mechanical and Automation Engineering
機械與自動化工程系	Department of Mechanical and Automation Engineering
機械與電腦輔助工程學系	Department of Mechanical and Computer-Aided Engineering
機械與電腦輔助工程系	Department of Mechanical and Computer-Aided Engineering
機械設計工程系	Department of Mechanical Design Engineering
機電學士班	Bachelor of Mechanical and Electrical Engineering
機電工程學系	Department of Mechanical and Electrical Engineering
機電工程學系（公費生）	Department of Mechanical and Electrical Engineering (Government-funded students)
機電工程系	Department of Mechanical and Electrical Engineering
機電工程系智慧自動化組	Intelligent Automation Group, Department of Mechanical and Electrical Engineering
機電工程系精密機械組	Precision Machinery Group, Department of Mechanical and Electrical Engineering
歐洲語文學系	Department of European Philology
歐洲語文學系俄文組	Russian Section, Department of European Philology
歐洲語文學系德文組	German Section, Department of European Philology
歐洲語文學系法文組	French Section, Department of European Philology
歐洲語文學系西文組	Spanish Section, Department of European Languages and Literatures
歐洲語文學系西班	Spanish Department of European Philology
歐洲語文學系西班牙文組	Spanish Section, Department of European Philology
歐美語文學系	Department of European and American Languages and Literatures
正修科技大學	Zhengxiu University of Science and Technology
歷史學系	Department of History
歷史學系(A組)	Department of History (Group A)
歷史學系(B組)	Department of History (Group B)
歷史學系(史學經典與創作組)	Department of History (Historical Classics and Creation Group)
歷史學系(圖像史學與數位組)	Department of History (Image History and Digital Group)
歷史學系【外加】	Department of History【Additional】
歷史與地理學系	Department of History and Geography
民族事務與發展學系	Department of Ethnic Affairs and Development
民族學系	Department of Ethnology
民族學系【外加】	Department of Ethnology【Additional】
民族發展與社會工作學系	Department of Ethnic Development and Social Work
民族發展與社會工作學系民族發展組	Ethnic Development Group, Department of Ethnic Development and Social Work
民族發展與社會工作學系社會工作組	Social Work Group, Department of Ethnic Development and Social Work
民族社會工作學士學位學程	Bachelor's Degree Program in Ethnic Social Work
民族社會工作學士學位學程【外加】	Bachelor's Degree Program in Ethnic Social Work [Additional]
民族語言與傳播學系	Department of Ethnic Languages and Communication Studies
水利及海洋工程學系	Department of Hydraulic and Ocean Engineering
水利工程與資源保育學系	Department of Water Conservancy Engineering and Resource Conservation
水利工程與資源保育學系A組	Group A, Department of Water Conservancy Engineering and Resource Conservation
水利工程與資源保育學系B組	Group B, Department of Water Conservancy Engineering and Resource Conservation
水土保持學系	Department of Soil and Water Conservation
水土保持系	Soil and Water Conservation Department
水生生物科學系	Department of Aquatic Biological Sciences
水產食品科學系	Department of Fisheries and Food Science
水產食品科學系（楠梓校區）	Department of Fishery and Food Science (Nanzi Campus)
水產養殖學系	Department of Aquaculture
水產養殖系	Department of Aquaculture
水產養殖系（楠梓校區）	Department of Aquaculture (Nanzi Campus)
水資源及環境工程學系	Department of Water Resources and Environmental Engineering
水資源及環境工程學系水資源工程組	Water Resources Engineering Group, Department of Water Resources and Environmental Engineering
水資源及環境工程學系環境工程組	Environmental Engineering Group, Department of Water Resources and Environmental Engineering
水資源及環工系	Department of Water Resources and Environmental Engineering
水資源及環工系水資源工程組	Water Resources Engineering Group, Department of Water Resources and Environmental Engineering
水資源及環工系環境工程組	Environmental Engineering Group, Department of Water Resources and Environmental Engineering
永續環境與智慧科技學士學位學程	Bachelor's Degree Program in Sustainable Environment and Smart Technology
永續科學與工程學士學位學程	Bachelor's Degree in Sustainable Science and Engineering
永續科學與管理學士學位學程	Bachelor's Degree in Sustainability Science and Management
河海工程學系	Department of River and Sea Engineering
法國語文學系	Department of French Language and Literature
法國語文系	French Language Department
法律學士學位學程	Bachelor of Laws Program
法律學系	Department of Law
法律學系(台北校區)	Department of Law (Taipei Campus)
法律學系(臺北校區)	Department of Law (Taipei Campus)
法律學系【外加】	Department of Law【Additional】
法律學系企業金融法制組	Department of Law, Corporate Finance and Legal Affairs Section
法律學系司法組	Judicial Section, Department of Law
法律學系司法組【外加】	Judicial Section, Department of Law [Additional]
法律學系法制組	Legal Affairs Section, Department of Law
法律學系法學組	Law Section, Department of Law
法律學系法律應用實務組	Legal Application Practice Group, Department of Law
法律學系財經法學組	Department of Law, Financial and Economic Law Group
法律學系財經法學組【外加】	Department of Law, Financial and Economic Law Section [Additional]
法律學系財經法律組	Department of Law, Financial and Economic Law Group
法律學系財經法組	Department of Law, Financial and Economic Law Section
法律學系財經科	Department of Law, Department of Finance and Economics
法律學系財經科技法律組	Department of Law, Finance, Technology and Law Group
法律學系（臺北）	Department of Law (Taipei)
法律學系（臺北）【外加】	Department of Law (Taipei) [Additional]
流行商品設計系	Department of Fashion Product Design
流行時尚造型設計系	Department of Fashion Design
流行設計系	Department of Fashion Design
流行音樂事業系	Department of Popular Music Business
流行音樂創作學士學位學程	Bachelor's Degree in Popular Music Composition
流行音樂產業管理系	Department of Popular Music Industry Management
流行音樂產業系	Department of Popular Music Industry
流行音樂系	Department of Popular Music
流通管理系	Department of Circulation Management
流通管理系連鎖加盟組	Circulation Management Department Chain Franchise Group
海事資訊科技系	Department of Maritime Information Technology
海事資訊科技系（旗津校區）	Department of Maritime Information Technology (Cijin Campus)
海洋休閒管理系	Department of Marine Recreation Management
海洋休閒管理系（楠梓校區）	Department of Marine Leisure Management (Nanzi Campus)
海洋休閒觀光管理系	Department of Marine Leisure and Tourism Management
海洋休閒觀光管理系（士林校區）	Department of Marine Leisure and Tourism Management (Shilin Campus)
海洋休閒觀光系	Department of Marine Leisure and Tourism
海洋休閒觀光系（士林校區）	Department of Marine Leisure and Tourism (Shilin Campus)
海洋工程科技學士學位學程	Bachelor's Degree in Marine Engineering Technology
海洋文創設計產業學位學程	Marine Cultural and Creative Design Industry Degree Program
海洋文創設計產業學士學位學程	Marine Cultural and Creative Design Industry Bachelor's Degree Program
海洋法政學士學位學程	Bachelor's Degree in Maritime Law and Politics
海洋環境及工程學系	Department of Marine Environment and Engineering
海洋環境工程系	Department of Marine Environmental Engineering
海洋環境工程系（楠梓校區）	Department of Marine Environmental Engineering (Nanzi Campus)
海洋環境資訊系	Department of Marine Environmental Information
海洋生物技術系	Department of Marine Biotechnology
海洋生物技術系（楠梓校區）	Department of Marine Biotechnology (Nanzi Campus)
海洋生物科技學士學位學程	Bachelor's Degree in Marine Biotechnology
海洋生物科技暨資源學系	Department of Marine Biotechnology and Resources
海洋科學系	Department of Marine Science
海洋經營管理學士學位學程	Bachelor's Degree in Marine Operations and Management
海洋與邊境管理學系	Department of Marine and Border Management
海洋與邊境管理學系【外加】	Department of Marine and Border Management [Additional]
海洋觀光管理學士學位學程	Bachelor's Degree in Marine Tourism Management
海洋遊憩系	Department of Marine Recreation
海洋運動休閒系	Marine Sports and Leisure Department
海洋運動休閒系（士林校區）	Department of Marine Sports and Leisure (Shilin Campus)
海空物流與行銷系	Department of Sea and Air Logistics and Marketing
海空物流與行銷系（淡水校本部）	Department of Sea and Air Logistics and Marketing (Tsui Campus)
消防安全學位學程	Fire Safety Degree Program
消防安全學位學程(社會組)	Fire Safety Degree Program (Society Section)
消防安全學位學程(自然組)	Fire Safety Degree Program (Natural Category)
消防安全學士學位學程	Bachelor's Degree in Fire Safety
消防安全學士學位學程(社會組)	Bachelor's Degree in Fire Safety (Society Stream)
消防安全學士學位學程(自然組)	Bachelor's Degree in Fire Safety (Natural Stream)
消防安全學士學位學程消防實務管理組	Fire Safety Practice Management Group, Bachelor's Degree in Fire Safety
消防安全學士學位學程火場鑑識組	Bachelor's Degree in Fire Safety Fire Scene Identification Section
消防系	Department of Fire Protection
淡江大學	Tamkang University
測量及空間資訊學系	Department of Surveying and Spatial Informatics
漁業生產與管理系	Department of Fisheries Production and Management
漁業生產與管理系（楠梓校區）	Department of Fishery Production and Management (Nanzi Campus)
漁業科技與管理系	Department of Fishery Technology and Management
演藝事業系	Department of Performing Arts
演藝時尚事業管理系	Department of Performing Arts and Fashion Business Management
演藝時尚事業管理系（淡水校區）	Department of Performing Arts and Fashion Management (Tsui Campus)
漫畫學士學位學程	Bachelor's Degree in Comics
漫畫系	Department of Comics
烘焙創意與經營管理學士學位學程	Bachelor's degree program in Baking Creativity and Business Management
烘焙暨飲料調製學士學位學程	Bachelor's Degree in Baking and Beverage Preparation
烘焙管理系	Department of Baking Management
無人機應用學士學位學程	Bachelor's Degree Program in Drone Applications
熱帶農業暨國際合作系	Department of Tropical Agriculture and International Cooperation
營建工程安全學士學位學程	Bachelor's Degree Program in Construction Safety
營建工程系	Department of Construction Engineering
營建工程系（第一校區）	Department of Construction Engineering (First Campus)
營建科技系	Department of Construction Technology
營建科技系室內設計與管理組	Interior Design and Management Group, Department of Construction Technology
營建科技系營建與空間設計組	Construction and Space Design Group, Department of Construction Technology
營建與空間設計系	Department of Construction and Space Design
營養學系	Department of Nutrition
營養學系【外加】	Department of Nutrition【Additional】
營養學系臨床營養組	Clinical Nutrition Group, Department of Nutrition
營養學系食品營養組	Food and Nutrition Section, Department of Nutrition
營養科學學士學位學程	Nutritional Science Bachelor's Degree Program
營養科學系	Department of Nutritional Sciences
營養系	Department of Nutrition
牙醫學系	Department of Dentistry
牙醫學系(薪火A2幼)	Department of Dentistry (Xinhuo A2 Junior)
牙醫學系璞玉組	Department of Dentistry Puyu Group
牙體技術學系	Department of Dental Technology
牙體技術暨材料系	Department of Dental Technology and Materials
物業經營與管理系	Department of Property Operation and Management
物業經營與管理系室內設計組	Interior Design Group, Department of Property Management and Property Management
物理學系	Department of Physics
物理學系(天文與基礎物理組)	Department of Physics (Astronomy and Basic Physics Group)
物理學系(量子材料組)	Department of Physics (Quantum Materials Group)
物理學系一般物理組	Department of Physics, General Physics Group
物理學系光電物理組	Optoelectronic Physics Group, Department of Physics
物理學系光電組	Optoelectronics Group, Department of Physics
物理學系光電與材料科	Department of Physics, Department of Optoelectronics and Materials
物理學系光電與材料科學組	Optoelectronics and Materials Science Group, Department of Physics
物理學系國際組	Department of Physics International Group
物理學系奈米與光電科	Department of Physics, Nano and Optoelectronics Section
物理學系奈米與光電科學組	Nano and Optoelectronics Science Group, Department of Physics
物理學系應用物理組	Applied Physics Group, Department of Physics
物理學系物理組	Physics Group, Department of Physics
物理學系物理組(乙組天文物理組)	Physics Group, Department of Physics (Group B Astrophysics Group)
物理學系物理組(天文物理組)	Department of Physics, Physics Group (Astrophysics Group)
物理學系物理組(甲組一般組)	Physics Group, Department of Physics (Group A General Group)
物理學系量子科	Department of Physics Quantum Section
物理學系量子科技組(全英)	Quantum Technology Group, Department of Physics (All UK)
物理學系電子物理組	Electronic Physics Group, Department of Physics
物理治療學系	Department of Physiotherapy
物理治療學系【外加】	Department of Physiotherapy【Additional】
物理治療暨輔助科技學系	Department of Physiotherapy and Assistive Technology
物理治療系	Department of Physical Therapy
物聯網工程與應用學士學位學程	Bachelor's Degree Program in Internet of Things Engineering and Applications
特殊教育學系	Department of Special Education
特殊教育學系(公費)-臺東縣	Department of Special Education (Publicly Funded)-Taitung County
特殊教育學系(公費)-雲林縣	Department of Special Education (publicly funded)-Yunlin County
特殊教育學系(女)	Department of Special Education (Female)
特殊教育學系(文組)	Department of Special Education (Article Section)
特殊教育學系(理組)	Department of Special Education (Science Section)
特殊教育學系(男)	Department of Special Education (Male)
特殊教育學系(自費)	Department of Special Education (self-funded)
特殊教育學系【外加】	Department of Special Education【Additional】
犯罪防治學系	Department of Crime Prevention
犯罪防治學系(桃園校區)	Department of Crime Prevention (Taoyuan Campus)
犯罪防治學系（桃園）	Department of Crime Prevention (Taoyuan)
犯罪防治學系（桃園）【外加】	Department of Crime Prevention (Taoyuan) [Additional]
獸醫學系	Department of Veterinary Medicine
玄奘大學	Xuanzang University
理學院學士班	Bachelor of Science
理學院尖端材料科學學位學程	Advanced Materials Science Degree Program in the Faculty of Science
理學院尖端材料科學學士學位學程	Bachelor's Degree Program in Advanced Materials Science, Faculty of Science
理學院科學學士學位學程	Faculty of Science Bachelor of Science Program
理學院科學學士學位學程(丙組)	Bachelor of Science Program in the Faculty of Science (Group C)
理學院科學學士學位學程(乙組)	Bachelor of Science Program (Faculty of Science) (Group B)
理學院科學學士學位學程甲組	Faculty of Science Bachelor of Science Program Group A
理工學院大數據科學國際學士班	International Bachelor's Program in Big Data Science at the Polytechnic Institute
理財經營管理系	Department of Financial Management
理財與稅務規劃學系	Department of Financial Management and Tax Planning
理財與稅務規劃系	Department of Financial Management and Tax Planning
環境工程學系	Department of Environmental Engineering
環境工程學系(社會組)	Department of Environmental Engineering (Social Section)
環境工程學系【外加】	Department of Environmental Engineering【Additional】
環境工程系	Department of Environmental Engineering
環境工程系環保產業技術組	Environmental Protection Industry Technology Group, Department of Environmental Engineering
環境工程系生態與環境資源管理組	Department of Environmental Engineering Ecology and Environmental Resource Management Group
環境工程系綠色科	Department of Environmental Engineering, Green Section
環境工程系綠色科技與管理組	Green Technology and Management Group, Department of Environmental Engineering
環境工程與科學學系	Department of Environmental Engineering and Science
環境工程與科學系	Department of Environmental Engineering and Science
環境工程與科學系環境應用組	Environmental Applications Group, Department of Environmental Engineering and Science
環境工程與科學系環境檢驗組	Environmental Inspection Group, Department of Environmental Engineering and Science
環境工程與科學系環境科	Department of Environmental Engineering and Science, Environmental Section
環境工程與科學系環境科技組	Environmental Technology Group, Department of Environmental Engineering and Science
環境工程與管理系	Department of Environmental Engineering and Management
環境工程衛生系	Department of Environmental Engineering and Health
環境生物與漁業科學學系	Department of Environmental Biology and Fisheries Science
環境科學與工程學系	Department of Environmental Science and Engineering
環境科學與工程學系(自然A組)	Department of Environmental Science and Engineering (Natural Group A)
環境科學與工程學系(自然B組)	Department of Environmental Science and Engineering (Natural Group B)
環境科學與工程系(自然A組)	Department of Environmental Science and Engineering (Natural Group A)
環境科學與工程系(自然B組)	Department of Environmental Science and Engineering (Natural Group B)
環境科技與管理系	Department of Environmental Technology and Management
環境與安全工程學系	Department of Environmental and Safety Engineering
環境與安全衛生工程學系	Department of Environmental and Safety and Health Engineering
環境與安全衛生工程系	Department of Environmental and Safety and Health Engineering
環境與安全衛生工程系(乙組)	Department of Environmental and Safety and Health Engineering (Group B)
環境與安全衛生工程系(甲組)	Department of Environmental and Safety and Health Engineering (Group A)
環境與安全衛生工程系環境工程組	Environmental Engineering Group, Department of Environmental and Safety and Health Engineering
環境與安全衛生工程系綠色科	Green Section, Department of Environmental and Safety and Health Engineering
環境與安全衛生工程系綠色科技組	Green Technology Group, Department of Environmental and Safety and Health Engineering
環境與文化資源學系	Department of Environment and Cultural Resources
環境與職業安全衛生系	Department of Environmental and Occupational Safety and Health
環境與食品安全檢驗學士學位學程	Bachelor's degree program in Environmental and Food Safety Inspection
環境與食品安全檢驗學士學位學程(環境	Bachelor's Degree Program in Environmental and Food Safety Inspection (Environmental
環境與食品安全檢驗學士學位學程(食品	Bachelor's degree program in Environmental and Food Safety Inspection (Food
環境與食品安全檢驗學士學位學程環境檢驗組	Bachelor's Degree in Environmental and Food Safety Inspection Environmental Inspection Section
環境與食品安全檢驗學士學位學程食品安全管理組	Bachelor's Degree in Environmental and Food Safety Inspection Food Safety Management Group
環境與食品安全檢驗學士學位學程食品檢驗組	Bachelor's Degree in Environmental and Food Safety Inspection Food Inspection Section
環境與食安檢驗學程	Environmental and Food Safety Inspection Course
環境與食安檢驗學程(安管組)	Environmental and Food Safety Inspection Course (Safety Management Section)
環境與食安檢驗學程(環檢組)	Environmental and Food Safety Inspection Course (Environmental Inspection Team)
環境與食安檢驗學程(食檢組)	Environmental and Food Safety Inspection Course (Food Inspection Section)
環境資源管理系	Department of Environmental Resources Management
環境資源管理系智慧綠色工業組	Smart Green Industry Group, Department of Environmental Resources Management
環境資源管理系資源永續經營組	Resource Sustainability Management Team, Department of Environmental Resource Management
環球科技大學	Global University of Science and Technology
生化暨分子醫學科學系	Department of Biochemistry and Molecular Medical Sciences
生化科技學系	Department of Biochemical Technology
生命禮儀暨關懷事業系	Department of Life Rites and Care Services
生命科學暨生物科技學系	Department of Life Sciences and Biotechnology
生命科學暨醫學院學士班	Bachelor's degree in life sciences and medical school
生命科學系	Department of Life Sciences
生命科學系(公費)	Department of Life Sciences (publicly funded)
生命科學系(自費)	Department of Life Sciences (self-funded)
生命科學系暨基因科學研究所	Department of Life Sciences and Institute of Genetic Sciences
生命科學系暨基因體科學研究所	Department of Life Sciences and Institute of Genomic Sciences
生命科學系生態暨生物多樣性組	Ecology and Biodiversity Section, Department of Life Sciences
生命科學系生態生物多樣性組	Ecological Biodiversity Group, Department of Life Sciences
生命科學系生物醫學組	Biomedical Group, Department of Life Sciences
生命科學院學士班	Bachelor's Degree, School of Life Sciences
生命關懷事業科	Life Care Business Division
生態人文學系	Department of Ecological Humanities
生態人文學系(人文組)	Department of Ecological Humanities (Humanities Group)
生態人文學系(自然組)	Department of Ecological Humanities (Nature Group)
生態暨環境資源學系	Department of Ecology and Environmental Resources
生態暨環境資源學系【外加】	Department of Ecology and Environmental Resources [Additional]
生死學系	Department of Life and Death
生死學系殯葬服務組	Department of Life and Death Funeral Services Section
生死學系社會工作組	Department of Life and Death Social Work Group
生死學系諮商組	Department of Life and Death Consultation Group
生死與健康心理諮商系	Department of Psychological Counseling on Life, Death and Health
生活保健科技系	Department of Life and Health Technology
生活創意設計系	Department of Lifestyle Creative Design
生活應用科學系	Department of Life Applied Sciences
生活應用與保健系	Department of Life Application and Health Care
生活服務產業系	Department of Life Service Industry
生活產品設計系	Department of Lifestyle Product Design
生物事業管理學系	Department of Biotechnology Management
生物事業管理學系【外加】	Department of Bio-Business Management【Additional】
生物學系	Department of Biology
生物技術系	Department of Biotechnology
生物技術與動物科學系	Department of Biotechnology and Animal Sciences
生物機電工程學系	Department of Biomechanical Engineering
生物機電工程系	Department of Biomechanical Engineering
生物環境系統工程學系	Department of Bioenvironmental Systems Engineering
生物產業傳播暨發展學系	Department of Bioindustry Communication and Development
生物產業機電工程學系	Department of Bio-Industrial Mechanical and Electrical Engineering
生物產業機電工程學系【外加】	Department of Bio-Industrial Mechanical and Electrical Engineering【Additional】
生物科學系	Department of Biological Sciences
生物科學系英語組	English Section, Department of Biological Sciences
生物科技學士學位學程	Bachelor's Degree Program in Biotechnology
生物科技學系	Department of Biotechnology
生物科技學系(乙組)	Department of Biotechnology (Group B)
生物科技學系(桃園校區)	Department of Biotechnology (Taoyuan Campus)
生物科技學系(甲組)	Department of Biotechnology (Group A)
生物科技學系(醫藥應用組)	Department of Biotechnology (Pharmaceutical Application Group)
生物科技學系乙組	Department of Biotechnology Group B
生物科技學系生物和檢測組	Biology and Detection Group, Department of Biotechnology
生物科技學系生物醫學組(桃園校區)	Biomedical Sciences Group, Department of Biotechnology (Taoyuan Campus)
生物科技學系生物醫藥組	Biomedicine Group, Department of Biotechnology
生物科技學系甲組	Department of Biotechnology Group A
生物科技學系食品生技組	Food Biotechnology Group, Department of Biotechnology
生物科技學系食品生技組(桃園校區)	Food Biotechnology Group, Department of Biotechnology (Taoyuan Campus)
生物科技學系（桃園）	Department of Biotechnology (Taoyuan)
生物科技暨製藥技術系	Department of Biotechnology and Pharmaceutical Technology
生物科技系	Department of Biotechnology
生物科技系(農業生技管理組)	Department of Biotechnology (Agricultural Biotechnology Management Group)
生物科技系化妝品生技組	Department of Biotechnology Cosmetic Biotechnology Group
生物科技系生物科	Department of Biotechnology, Department of Biology
生物科技系生物科技組	Biotechnology Group, Department of Biotechnology
生物科技與產業科學系	Department of Biotechnology and Industrial Sciences
生物科技與綠色產業系	Department of Biotechnology and Green Industry
生物與食品科技系	Department of Biology and Food Technology
生物資源學系	Department of Bioresources
生物資源學系(醫藥微生物組)	Department of Bioresources (Medical Microbiology)
生物資源系	Department of Biological Resources
生物資源系(生態經營生物組)	Department of Biological Resources (Ecological Management Biology Group)
生物資訊學系	Department of Bioinformatics
生物資訊學系(基因科技組)	Department of Bioinformatics (Gene Technology Group)
生物資訊學系(生醫大數據組)	Department of Bioinformatics (Biomedical Big Data Group)
生物資訊與醫學工程學系	Department of Bioinformatics and Medical Engineering
生物資訊與醫學工程學系(生醫資訊組)	Department of Bioinformatics and Medical Engineering (Biomedical Information Group)
生物資訊與醫學工程學系(醫學工程組)	Department of Bioinformatics and Medical Engineering (Medical Engineering Group)
生物資訊與醫學工程學系【外加】	Department of Bioinformatics and Medical Engineering [Additional]
生物農業科技學系	Department of Bioagricultural Science and Technology
生物醫學工程學系	Department of Biomedical Engineering
生物醫學工程學系乙組	Department of Biomedical Engineering Group B
生物醫學工程學系人工智慧醫療組(桃園	Artificial Intelligence Medical Group, Department of Biomedical Engineering (Taoyuan
生物醫學工程學系專利醫材法規組(桃園	Patent Medical Materials Regulation Group, Department of Biomedical Engineering (Taoyuan
生物醫學工程學系專利醫材組	Department of Biomedical Engineering Patented Medical Materials Group
生物醫學工程學系專利醫材組(桃園校	Patented Medical Materials Group, Department of Biomedical Engineering (Taoyuan Campus
生物醫學工程學系智慧醫療應用組	Smart Medical Application Group, Department of Biomedical Engineering
生物醫學工程學系智慧醫療組	Smart Medical Group, Department of Biomedical Engineering
生物醫學工程學系智慧醫療組(桃園校	Smart Healthcare Group, Department of Biomedical Engineering (Taoyuan Campus
生物醫學工程學系生醫技術應用組	Biomedical Technology Application Group, Department of Biomedical Engineering
生物醫學工程學系生醫技術組	Biomedical Technology Group, Department of Biomedical Engineering
生物醫學工程學系甲組	Department of Biomedical Engineering Group A
生物醫學工程學系（桃園）	Department of Biomedical Engineering (Taoyuan)
生物醫學工程系	Department of Biomedical Engineering
生物醫學影像暨放射科學學系	Department of Biomedical Imaging and Radiological Sciences
生物醫學影像暨放射科學系	Department of Biomedical Imaging and Radiation Sciences
生物醫學影像暨放射科學系【外加】	Department of Biomedical Imaging and Radiation Sciences [Additional]
生物醫學暨工程學系	Department of Biomedicine and Engineering
生物醫學暨環境生物學系	Department of Biomedicine and Environmental Biology
生物醫學科學學系	Department of Biomedical Sciences
生物醫學科學學系【外加】	Department of Biomedical Sciences【Additional】
生物醫學科學系	Department of Biomedical Sciences
生物醫學科技學系全英語學士班生物醫	Department of Biomedical Technology Bachelor's Degree in English
生物醫學科技學系全英語學士班生醫工	Department of Biomedical Technology Bachelor's Degree in English
生物醫學系	Department of Biomedicine
生物醫學系(檢驗醫學組)	Department of Biomedicine (Laboratory Medicine Group)
生物醫學系(生物醫藥組)	Department of Biomedicine (Biomedicine Group)
生物醫學系(醫藥檢驗管理組)	Department of Biomedicine (Pharmaceutical Inspection Management Group)
生資醫學工程系	Department of Biomedical Engineering
生資醫學工程系(生醫資訊組)	Department of Biomedical Engineering (Biomedical Information Group)
生資醫學工程系(醫學工程組)	Department of Biomedical Engineering (Medical Engineering Group)
生醫工程與環境科學系	Department of Biomedical Engineering and Environmental Sciences
生醫科學與工程學系	Department of Biomedical Sciences and Engineering
產業經濟學系	Department of Industrial Economics
畜產與生物科技學系	Department of Animal Husbandry and Biotechnology
畜產與生物科技學系(A組)	Department of Animal Science and Biotechnology (Group A)
畜產與生物科技學系(B組)	Department of Animal Husbandry and Biotechnology (Group B)
真理大學	university of truth
社工系	Department of Social Work
社工系(心理與家庭社工組)	Department of Social Work (Psychology and Family Social Work Group)
社工系(醫務社工與長照組)	Department of Social Work (Medical Social Work and Long-term Care Team)
社工系(醫務與長照社工組)	Department of Social Work (Medical and Long-term Care Social Work Section)
社會學暨社會工作學系	Department of Sociology and Social Work
社會學系	Department of Sociology
社會學系【外加】	Department of Sociology【Additional】
社會工作學償(連江公費生)	Social work scholarship (Lianjiang government-funded students)
社會工作學士學位學程	Bachelor's Degree in Social Work
社會工作學系	Department of Social Work
社會工作學系(A組)	Department of Social Work (Group A)
社會工作學系(B組)	Department of Social Work (Group B)
社會工作學系(C組)	Department of Social Work (Group C)
社會工作學系(兒少家庭與心衛社工組)	Department of Social Work (Children, Family and Mental Health Social Work Group)
社會工作學系(兒少與家庭社工組)	Department of Social Work (Child, Child and Family Social Work Section)
社會工作學系(社工心理組)	Department of Social Work (Social Work Psychology Group)
社會工作學系(社工心理雙專業組)	Department of Social Work (Double Major Group in Social Work Psychology)
社會工作學系(臺北校區)	Department of Social Work (Taipei Campus)
社會工作學系(臺北校區)【外加】	Department of Social Work (Taipei Campus) [Additional]
